rank,title,author,year,fiction,word count
1,Don Quixote,Miguel de Cervantes,1605,1,405552
2,In Search of Lost Time,Marcel Proust,1913,1,1267069
3,Ulysses,James Joyce,1922,1,265000
4,The Odyssey,Homer,-700,1,173600
5,War and Peace,Leo Tolstoy,1869,1,587287
6,Moby Dick,Herman Melville,1851,1,206052
7,The Divine Comedy,Dante Alighieri,1472,1,111060
8,Hamlet,William Shakespeare,1601,1,30557
9,The Adventures of Huckleberry Finn,Mark Twain,1884,1,109571
10,The Great Gatsby,F. Scott Fitzgerald,1925,1,47094
1,Confessions,Augustine,398,0,119040
2,Essays,Michel de Montaigne,1580,0,416640
3,The Prince,Niccolo Machiavelli,1532,0,24800
4,The Interpretation of Dreams,Sigmund Freud,1899,0,213280
5,On the Origin of Species,Charles Darwin,1859,0,178560
6,Walden,Henry David Thoreau,1854,0,120630
7,The Republic,Plato,-380,0,216172
8,Democracy in America,Alexis de Tocqueville,1840,0,292330
9,The Complete Works of Plato,Plato,-347,0,569780
10,Pensées,Blaise Pascal,1670,0,103230
